"Func","Calls","DefFile","DefLine"
"CrossedDown","0","C:\EA\StartTester\MQL5\Include\StartTester\PatternBacktest.mqh","16"
"CrossedUp","0","C:\EA\StartTester\MQL5\Include\StartTester\PatternBacktest.mqh","15"
"DetectLiveCluster","0","C:\EA\StartTester\MQL5\Include\StartTester\ClusterDetector11.mqh","94"
"Detector_StageAudit_PerRegime","0","C:\EA\StartTester\MQL5\Include\StartTester\PatternDetector11.mqh","700"
"DrawVWAPChannelPoint","0","C:\EA\StartTester\MQL5\Include\StartTester\DrawingTools11.mqh","240"
"EnableATRFilter","0","C:\EA\StartTester\MQL5\Include\StartTester\ClusterDetector11.mqh","66"
"EnableStdDevFilter","0","C:\EA\StartTester\MQL5\Include\StartTester\ClusterDetector11.mqh","74"
"EnableVolumeFilter","0","C:\EA\StartTester\MQL5\Include\StartTester\ClusterDetector11.mqh","70"
"InitMovingAverages","0","C:\EA\StartTester\MQL5\Include\StartTester\CandleAndTranactionData11.mqh","246"
"LogError","0","C:\EA\StartTester\MQL5\Include\StartTester\EA_PathConfig.mqh","129"
"LogInfo","0","C:\EA\StartTester\MQL5\Include\StartTester\EA_PathConfig.mqh","127"
"LogWarn","0","C:\EA\StartTester\MQL5\Include\StartTester\EA_PathConfig.mqh","128"
"UpdateMovingAverages","0","C:\EA\StartTester\MQL5\Include\StartTester\CandleAndTranactionData11.mqh","253"
