"Var","Refs","DefFile","DefLine"
"Accum_Breakout_ZRangeMin","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","110"
"Accum_WindowBars","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","108"
"Accum_ZRangeMax","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","109"
"Accum_ZVolMin","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","111"
"AccumulationMaxRangePercent","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","40"
"AccumulationMinVolumePercent","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","39"
"breakoutSizeMultiplier","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","30"
"breakoutVolumeMultiplier","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","31"
"candleTime","1","C:\EA\StartTester\MQL5\Include\StartTester\SmartOrderExecutor11.mqh","17"
"ccurrentCandleCount","1","C:\EA\StartTester\MQL5\Include\StartTester\DrawingTools11.mqh","195"
"DebugPatternAccumulation","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","246"
"DebugPatternFakeBreakout","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","247"
"DefinedCandleCount","1","C:\EA\StartTester\MQL5\Include\StartTester\DrawingTools11.mqh","196"
"DET_MA_Fast_Periods","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","183"
"DET_MA_Slow_Periods","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","184"
"DET_SC_Mult_PD","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","227"
"DET_SCORE_Mult","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","135"
"DET_ZR_Mult","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","133"
"DET_ZV_Mult","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","134"
"dx","1","C:\EA\StartTester\MQL5\Include\StartTester\CandleAndTranactionData11.mqh","345"
"Enable_Auto_MA_PerRegime","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","202"
"Enable_Optimize_Exits","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","201"
"Fakeout_WickRatio","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","117"
"Fakeout_ZRangeMax","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","115"
"Fakeout_ZRangeMin","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","114"
"Fakeout_ZVolMin","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","116"
"hasDrawnHistory","1","C:\EA\StartTester\MQL5\Include\StartTester\PatternOptymalizer11.mqh","18"
"IMP_SCORE_MIN_PD","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","223"
"Impulse_ZRangeMin","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","104"
"Impulse_ZVolMin","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","105"
"ImpulseMinRangePercent","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","36"
"ImpulseMinVolumePercent","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","35"
"initialScanDone","1","C:\EA\StartTester\MQL5\Experts\StartTester\StartTester11.mq5","34"
"inputMagicnumberBoxBrakeOut","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","53"
"inputMagicNumberSRBrakeOut","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","52"
"inputRectangleTrading","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","16"
"inputSRBreakoutTrading","1","C:\EA\StartTester\MQL5\Include\StartTester\Zmienne11.mqh","17"
